Displacements
Node, u, v
27 ,1, 27, -308.679234, -74.652988, -269.987185
27 ,2, 28, -322.084968, -164.245272, -249.660531
27 ,3, 60, -312.253100, -98.244259, -291.618336
27 ,4, 59, -326.499083, -193.452035, -270.017641
28 ,1, 28, -30.642453, -131.078711, -127.176502
28 ,2, 29, -35.344185, -182.597987, -110.648415
28 ,3, 61, -36.100890, -153.287987, -140.595622
28 ,4, 60, -41.097319, -208.036404, -123.031583
29 ,1, 29, 88.781728, 23.463648, 43.503270
29 ,2, 30, 123.926384, -63.078454, 74.972607
29 ,3, 62, 55.950628, -40.240926, 8.984782
29 ,4, 61, 93.298091, -132.207341, 42.426564
30 ,1, 30, 78.798424, 253.586545, 137.731746
30 ,2, 31, 139.037990, 154.956170, 207.872147
30 ,3, 63, 37.262881, 139.717689, 91.755060
30 ,4, 62, 101.278161, 34.905329, 166.291744
31 ,1, 31, 14.667960, 470.310631, 114.228311
31 ,2, 32, 69.495558, 391.716372, 229.877849
31 ,3, 64, -22.648272, 309.701180, 73.837936
31 ,4, 63, 35.615827, 226.180765, 196.736193
32 ,1, 32, -27.176610, 586.336624, -2.201115
32 ,2, 1, -5.273346, 556.420604, 143.234246
32 ,3, 33, -57.837629, 396.993647, -21.038370
32 ,4, 64, -34.561506, 365.202541, 133.512634
33 ,1, 33, -75.047676, 215.243141, -135.082131
33 ,2, 34, -89.391849, 245.249265, 6.068752
33 ,3, 66, -106.692953, 7.507912, -126.334787
33 ,4, 65, -122.045686, 39.623810, 24.740621
34 ,1, 34, 13.437724, 71.796986, -212.896326
34 ,2, 35, -20.008274, 151.773349, -97.070056
34 ,3, 67, -20.686397, -109.531891, -181.907055
34 ,4, 66, -56.484032, -23.932272, -57.936870
35 ,1, 35, 120.577996, -126.394272, -185.105867
35 ,2, 36, 91.979341, -21.517092, -106.609324
35 ,3, 68, 87.220815, -261.503600, -146.605293
35 ,4, 67, 56.611347, -149.252351, -62.589543
36 ,1, 36, 167.053060, -294.344615, -44.845281
36 ,2, 37, 167.242908, -192.810197, 3.564319
36 ,3, 69, 147.505470, -377.312735, -15.219425
36 ,4, 68, 147.708667, -268.639283, 36.593924
37 ,1, 37, 83.086551, -352.585901, 158.609588
37 ,2, 38, 120.610801, -260.521073, 202.015059
37 ,3, 70, 93.313639, -397.946389, 173.943272
37 ,4, 69, 133.476275, -299.408348, 220.400645
38 ,1, 38, -164.910556, -323.352220, 366.798833
38 ,2, 39, -93.250735, -296.387811, 425.566832
38 ,3, 71, -88.244900, -317.780944, 350.916512
38 ,4, 70, -11.546572, -288.920629, 413.816575
39 ,1, 39, -461.900397, -338.668738, 466.336690
39 ,2, 40, -409.306461, -544.140114, 557.753662
39 ,3, 72, -283.691049, -264.422522, 383.349464
39 ,4, 71, -227.399156, -484.340891, 481.194097
40 ,1, 40, -693.774529, -505.861046, 179.496890
40 ,2, 41, -680.424759, -703.141045, 360.526236
40 ,3, 73, -416.626827, -445.148359, 108.022595
40 ,4, 72, -402.338415, -656.299404, 301.780379
41 ,1, 41, -680.424759, -703.141045, -360.526236
41 ,2, 42, -693.774529, -505.861046, -179.496890
